word,syllables,actual_count,cmu_counts,category,phonetic
aboveboard,above-board,2,3,other,/əˈbʌvˌbɔɹd/
absenteeism,a-bsen-tee-ism,4,5,suffix_ism,/ˌæbsənˈtiːɪzəm/
academically,a-ca-dem-i-cal-ly,6,5,adverb_ically_ally,/ˌækəˈdɛmɪkli/
accompaniment,ac-com-pa-ni-ment,5,4,other,/əˈkʌmpənɪmənt/
acoustically,a-cous-ti-cal-ly,5,4,adverb_ically_ally,/əˈkuːstɪkli/
activism,ac-ti-vism,3,4,suffix_ism,/ˈæktɪˌvɪzəm/
actuary,ac-tu-ary,3,4,other,/ˈæktʃuˈɛˌɹiː/
adrian,adri-an,2,3,vowel_sequence_suffix,/ˈeɪdɹiən/
aerial,aeri-al,2,3,other,/ˈɛɹiəl/
aesthetically,aes-thet-i-cal-ly,5,4,adverb_ically_ally,/ɛsˈθɛtɪkli/
aforesaid,afore-said,2,3,other,/əˈfɔɹˌsɛd/
albeit,al-beit,2,3,other,/ɔlˈbiːɪt/
albuquerque,al-bu-querque,3,4,other,/ˈælbəkɚki/
alcoholism,al-co-ho-lism,4,5,suffix_ism,/ˈælkəˌhɔˌlɪzəm/
algorithm,al-go-rithm,3,4,other,/ˈælɡɚˌɪðəm/
algorithms,al-go-rithms,3,4,other,/ˈælɡɚˌɪðəmz/
alphabetically,al-pha-bet-i-cal-ly,6,5,adverb_ically_ally,/ˌælfəˈbɛtɪkli/
altruism,al-tru-ism,3,4,suffix_ism,/ˈæltɹuˌɪzəm/
americanism,a-me-ri-ca-nism,5,6,suffix_ism,/əˈmɛɹɪkəˌnɪzəm/
amphibian,am-phib-ian,3,4,vowel_sequence_suffix,/æmˈfɪbiən/
amphitheater,amp-hit-hea-ter,4,5,other,/ˈæmfəθiˈeɪtɚ/
anachronism,a-nac-hro-nism,4,5,suffix_ism,/əˈnækɹəˌnɪzəm/
analogue,ana-logue,2,3,other,/ˈænəˌlɔɡ/
annuity,an-nu-ity,3,4,suffix_ity_ety,/ɐnjˈuːtɪ/
antagonism,an-tag-o-nism,4,5,suffix_ism,/ænˈtæɡəˌnɪzəm/
antemeridian,an-te-merid-i-an,5,6,vowel_sequence_suffix,/ˌæntəmɛˈɹɪdiən/
anthropomorphism,an-thro-po-mor-phism,5,6,suffix_ism,/ˌænθɹəpəˈmɔɹfɪzəm/
antibiotic,an-tibi-ot-ic,4,5,other,/ˌæntɪbaɪˈɒtɪk/
anxiety,anx-i-ety,3,4,suffix_ity_ety,/æŋˈzaɪəti/
aphorism,ap-ho-rism,3,4,suffix_ism,/ˈæfɚˌɪzəm/
apotheosis,apoth-e-o-sis,4,5,other,/əˌpɑθiˈoʊsəs/
appliances,ap-pli-ances,3,4,other,/ɐplˈaɪənsɪz/
