word,syllables,actual_count,cmu_counts,category,phonetic,kaikki_counts,kaikki_ipa,kaikki_decision,kaikki_error
aboveboard,above-board,2,3,other,/əˈbʌvˌbɔɹd/,,,kaikki_no_count,
absenteeism,a-bsen-tee-ism,4,5,suffix_ism,/ˌæbsənˈtiːɪzəm/,,/æb.sənˈtiːˌɪz.m̩/; /ˌæb.sənˈtiˌɪz.m̩/,kaikki_no_count,
academically,a-ca-dem-i-cal-ly,6,5,adverb_ically_ally,/ˌækəˈdɛmɪkli/,,/ˌæk.əˈdɛm.ɪk.ə.li/; /ˌæk.əˈdɛm.ɪk.li/,kaikki_no_count,
accompaniment,ac-com-pa-ni-ment,5,4,other,/əˈkʌmpənɪmənt/,,/əˈkʌm.pə.ni.mənt/; /əˈkʌmp.ni.mənt/,kaikki_no_count,
acoustically,a-cous-ti-cal-ly,5,4,adverb_ically_ally,/əˈkuːstɪkli/,,,kaikki_no_count,
activism,ac-ti-vism,3,4,suffix_ism,/ˈæktɪˌvɪzəm/,,/ˈæk.tɪ.vɪ.zəm/; [ˈæk.tɪ.vɪ.zm̩],kaikki_no_count,
actuary,ac-tu-ary,3,4,other,/ˈæktʃuˈɛˌɹiː/,,/ˈæktʃuˌɛɹi/; /ˈæktjʊəɹi/; /ˈæktʃʊəɹi/; /ˈæktʃəɹi/,kaikki_no_count,
adrian,adri-an,2,3,vowel_sequence_suffix,/ˈeɪdɹiən/,,,kaikki_missing,
aerial,aeri-al,2,3,other,/ˈɛɹiəl/,,/ˈɛəɹiəl/; /ˈɛːɹɪjəl/; /ˈeɹiəl/; /ˈɛɹiəl/; /ˈeə̯ɹiəl/; /ˈiə̯ɹiəl/; /ˈeɾeəl/; /-ɪəl/; /-iəl/; /eɪˈɪəɹɪəl/; /eɪˈɛəɹɪəl/,kaikki_no_count,
aesthetically,aes-thet-i-cal-ly,5,4,adverb_ically_ally,/ɛsˈθɛtɪkli/,,,kaikki_no_count,
aforesaid,afore-said,2,3,other,/əˈfɔɹˌsɛd/,,/əˈfɔɹsɛd/; /əˈfɔːsɛd/,kaikki_no_count,
albeit,al-beit,2,3,other,/ɔlˈbiːɪt/,,/ɔːlˈbiː.ɪt/; /ɔlˈbi.ət/; /ɑlˈbi.ɪt/,kaikki_no_count,
albuquerque,al-bu-querque,3,4,other,/ˈælbəkɚki/,,,kaikki_missing,
alcoholism,al-co-ho-lism,4,5,suffix_ism,/ˈælkəˌhɔˌlɪzəm/,,/ˈælkə(ˌ)hɔˌlɪzəm/; /ˈælkəhɒˌlɪzəm/,kaikki_no_count,
algorithm,al-go-rithm,3,4,other,/ˈælɡɚˌɪðəm/,,/ˈælɡəɹɪðm̩/; [ˈæɫɡəɹɪðm̩]; /ˈalɡəɹɪð(ə)m/,kaikki_no_count,
algorithms,al-go-rithms,3,4,other,/ˈælɡɚˌɪðəmz/,,/ˈæl.ɡə.ɹɪðəmz/; /ˈæl.ɡəɹ.ɹɪ.ðəmz/; /ˈæl.ɡə.ɹɪðmz/; /ˈæl.ɡəɹ.ɹɪðmz/,kaikki_no_count,
alphabetically,al-pha-bet-i-cal-ly,6,5,adverb_ically_ally,/ˌælfəˈbɛtɪkli/,,,kaikki_no_count,
altruism,al-tru-ism,3,4,suffix_ism,/ˈæltɹuˌɪzəm/,,/ˈæl.tɹu.ɪz.əm/,kaikki_no_count,
americanism,a-me-ri-ca-nism,5,6,suffix_ism,/əˈmɛɹɪkəˌnɪzəm/,,,kaikki_missing,
amphibian,am-phib-ian,3,4,vowel_sequence_suffix,/æmˈfɪbiən/,,/æmˈfɪbɪən/,kaikki_no_count,
amphitheater,amp-hit-hea-ter,4,5,other,/ˈæmfəθiˈeɪtɚ/,,,kaikki_no_count,
anachronism,a-nac-hro-nism,4,5,suffix_ism,/əˈnækɹəˌnɪzəm/,,/əˈnæ.kɹə.nɪ.z(ə)m/,kaikki_no_count,
analogue,ana-logue,2,3,other,/ˈænəˌlɔɡ/,,,kaikki_no_count,
annuity,an-nu-ity,3,4,suffix_ity_ety,/ɐnjˈuːtɪ/,,/əˈn(j)uɪti/,kaikki_no_count,
