word,subtype,phonetic,phonetic_uk,phonetic_us,conflict_dialects,source_variants,uk_candidate_count,us_candidate_count
fustian,has_us_only_but_conflict,/ˈfʌˌstiːən/,,/ˈfʌˌstiːən/,uk,uk,4,1
auscultation,no_safe_variant,/ˌɔːskəltˈeɪʃən/,,,uk,uk,2,0
badinage,no_safe_variant,/bædɪnɑːʒ/,,,uk,uk,4,0
hypotenuse,no_safe_variant,/haɪpˈɒtənjˌuːs/,,,uk,uk,2,0
stopping,has_us_only_but_conflict,/ˈstɑpɪŋ/,,/ˈstɑpɪŋ/,uk,uk,6,1
redolence,no_safe_variant,/ˈɹɛdələns/,,,uk,uk,2,0
evaluating,no_safe_variant,/ɪvˈaljuːˌeɪtɪŋ/,,,us,us,0,2
supernal,no_safe_variant,/suːpˈɜːnəl/,,,uk,uk,3,0
inadvertence,no_safe_variant,/ɪnɐdvˈɜːtəns/,,,us,us,0,2
cavil,no_safe_variant,/ˈkævɪl/,,,uk,uk,4,0
archaism,no_safe_variant,/ˈɑːkeɪɪzəm/,,,uk,uk,2,0
provender,no_safe_variant,/ˈpɹuːvəndə/,,,uk,uk,4,0
polyhedron,has_us_only_but_conflict,/ˌpɑˌliːˈhiːdɹən/,,/ˌpɑˌliːˈhiːdɹən/,uk,uk,6,1
anemometer,has_us_only_but_conflict,/ˌænəˈmɑmətɚ/,,/ˌænəˈmɑmətɚ/,uk,uk,2,1
spinet,no_safe_variant,/ˈspɪnɪt/,,,uk,uk,2,0
surcease,has_us_only_but_conflict,/ˌsɝˈsiːs/,,/ˌsɝˈsiːs/,uk,uk,4,1
achromatic,no_safe_variant,/ækrəʊˈmætɪk/,,,uk,uk,2,0
seismology,has_us_only_but_conflict,/ˌsaɪzˈmɑlədʒi/,,/ˌsaɪzˈmɑlədʒi/,uk,uk,2,1
ravel,no_safe_variant,/ˈrævəl/,,,uk|us,uk|us,4,2
sung,has_us_only_but_conflict,/ˈsʌŋ/,,/ˈsʌŋ/,uk,uk,3,1
legionary,no_safe_variant,/ˈliːdʒənəɹɪ/,,,uk,uk,4,0
cogitate,has_us_only_but_conflict,/ˈkɑdʒɪˌteɪt/,,/ˈkɑdʒɪˌteɪt/,uk,uk,2,1
refused,no_safe_variant,/ɹɪfjˈuːzd/,,,us,us,0,2
eyrie,has_us_only_but_conflict,/ˈɛɹi/,,/ˈɛɹi/,uk,uk,3,1
oblation,no_safe_variant,/əʊblˈeɪʃən/,,,uk,uk,2,0
discomfiting,no_safe_variant,/dɪsˈkʌmfɪtɪŋ/,,,uk,uk,4,0
macerate,no_safe_variant,/ˈmæsəreɪt/,,,uk,uk,2,0
