word,frequency,current_phonetic,effective_phonetic,current_uk,current_us,current_status,expected_uk,expected_us,expected_status,verdict,source_variants,conflict_dialects,candidate_count_uk,candidate_count_us,sources_json
abalone,27076,/ˌæbəˈloʊni/,/ˌæbəˈloʊni/,/æbəˈləʊni/,/ˌæbəˈloʊni/,verified,/æbəˈləʊni/,/ˌæbəˈloʊni/,verified,pass,,,1,1,"{""candidates"": {""uk"": [{""ipa"": ""/æbəˈləʊni/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}], ""us"": [{""ipa"": ""/ˌæbəˈloʊni/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""verified""}"
abandonment,9919,/əˈbændənmənt/,/əˈbændənmənt/,,/əˈbændənmənt/,us_only,,/əˈbændənmənt/,us_only,pass,,,0,1,"{""candidates"": {""us"": [{""ipa"": ""/əˈbændənmənt/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""us_only""}"
abbess,29063,/ˈæbes/,/ˈæbes/,,,conflict,,,conflict,review_external_conflict,uk,uk,2,0,"{""candidates"": {""uk"": [{""ipa"": ""/ˈæbɪs/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}, {""ipa"": ""/ˈæbɛs/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}]}, ""status_reason"": ""conflict"", ""source_variants"": [""uk""], ""conflict_dialects"": [""uk""]}"
abet,15345,/əˈbɛt/,/əˈbɛt/,,/əˈbɛt/,us_only,,/əˈbɛt/,us_only,pass,,,0,1,"{""candidates"": {""us"": [{""ipa"": ""/əˈbɛt/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""us_only""}"
abhorrence,29710,/əbˈhɔɹəns/,/əbˈhɔɹəns/,,/əbˈhɔɹəns/,us_only,,/əbˈhɔɹəns/,us_only,pass,,,0,1,"{""candidates"": {""us"": [{""ipa"": ""/əbˈhɔɹəns/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""us_only""}"
ablaze,16903,/əˈbleɪz/,/əˈbleɪz/,,/əˈbleɪz/,us_only,,/əˈbleɪz/,us_only,pass,,,0,1,"{""candidates"": {""us"": [{""ipa"": ""/əˈbleɪz/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""us_only""}"
able,385,/ˈeɪbəl/,/ˈeɪbəl/,,/ˈeɪbəl/,conflict,,/ˈeɪbəl/,conflict,review_external_conflict,uk,uk,6,1,"{""candidates"": {""uk"": [{""ipa"": ""/ˈeɪbl̩/"", ""source"": ""kaikki"", ""detail"": ""general-american received-pronunciation""}, {""ipa"": ""/ˈeɪ̯bɫ̩/"", ""source"": ""kaikki"", ""detail"": ""general-american received-pronunciation""}, {""ipa"": ""/ˈeɪbl̩/"", ""source"": ""kaikki"", ""detail"": ""general-american received-pronunciation""}, {""ipa"": ""/ˈeɪ̯bɫ̩/"", ""source"": ""kaikki"", ""detail"": ""general-american received-pronunciation""}, {""ipa"": ""/ˈeɪbl̩/"", ""source"": ""kaikki"", ""detail"": ""general-american received-pronunciation""}, {""ipa"": ""/ˈeɪ̯bɫ̩/"", ""source"": ""kaikki"", ""detail"": ""general-american received-pronunciation""}], ""us"": [{""ipa"": ""/ˈeɪbəl/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""conflict"", ""source_variants"": [""uk""], ""conflict_dialects"": [""uk""]}"
absent,5516,/ˈæbsənt/,/ˈæbsənt/,/ˈæbsn̩t/,/ˈæbsənt/,verified,/ˈæbsn̩t/,/ˈæbsənt/,verified,pass,uk,,4,1,"{""candidates"": {""uk"": [{""ipa"": ""/ˈæbsn̩t/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}, {""ipa"": ""/ˈæbsn̩t/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}, {""ipa"": ""/ˈæbsn̩t/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}, {""ipa"": ""/æbˈsɛnt/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}], ""us"": [{""ipa"": ""/ˈæbsənt/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""verified"", ""source_variants"": [""uk""]}"
absorption,8596,/ɐbsˈɔːpʃən/,/ɐbsˈɔːpʃən/,,,conflict,,,conflict,review_external_conflict,uk|us,uk|us,2,2,"{""candidates"": {""uk"": [{""ipa"": ""/əbˈzɔːpʃn̩/"", ""source"": ""kaikki"", ""detail"": ""uk""}, {""ipa"": ""/əbˈsɔːpʃn̩/"", ""source"": ""kaikki"", ""detail"": ""uk""}], ""us"": [{""ipa"": ""/əbˈzɔɹpʃən/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/2""}, {""ipa"": ""/əbˈsɔɹpʃən/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 2/2""}]}, ""status_reason"": ""conflict"", ""source_variants"": [""uk"", ""us""], ""conflict_dialects"": [""uk"", ""us""]}"
abstracts,0,/ˈæbstɹækts/,/ˈæbstɹækts/,,/ˈæbstɹækts/,us_only,,/ˈæbstɹækts/,us_only,pass,,,0,1,"{""candidates"": {""us"": [{""ipa"": ""/ˈæbstɹækts/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""us_only""}"
abundant,6223,/əˈbʌndənt/,/əˈbʌndənt/,/əˈbʌndənt/,/əˈbʌndənt/,same,/əˈbʌndənt/,/əˈbʌndənt/,same,pass,,,1,1,"{""candidates"": {""uk"": [{""ipa"": ""/əˈbʌndənt/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}], ""us"": [{""ipa"": ""/əˈbʌndənt/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""same""}"
abuse,1540,/ɐbjˈuːs/,/ɐbjˈuːs/,,,conflict,,,conflict,review_external_conflict,uk|us,uk|us,3,2,"{""candidates"": {""uk"": [{""ipa"": ""/əˈbjuːs/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}, {""ipa"": ""/əˈbjʉws/"", ""source"": ""kaikki"", ""detail"": ""british southern standard""}, {""ipa"": ""/əˈbjuːz/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}], ""us"": [{""ipa"": ""/əˈbjuːs/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/2""}, {""ipa"": ""/əˈbjuːz/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 2/2""}]}, ""status_reason"": ""conflict"", ""source_variants"": [""uk"", ""us""], ""conflict_dialects"": [""uk"", ""us""]}"
accept,766,/ɐksˈɛpt/,/ɐksˈɛpt/,,,conflict,,,conflict,review_external_conflict,uk|us,uk|us,6,2,"{""candidates"": {""uk"": [{""ipa"": ""/əkˈsɛpt/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}, {""ipa"": ""/ækˈsɛpt/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}, {""ipa"": ""/əkˈsɛpt/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}, {""ipa"": ""/ækˈsɛpt/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}, {""ipa"": ""/əkˈsɛpt/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}, {""ipa"": ""/ækˈsɛpt/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}], ""us"": [{""ipa"": ""/ækˈsɛpt/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/2""}, {""ipa"": ""/əkˈsɛpt/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 2/2""}]}, ""status_reason"": ""conflict"", ""source_variants"": [""uk"", ""us""], ""conflict_dialects"": [""uk"", ""us""]}"
accepting,0,/ɐksˈɛptɪŋ/,/ɐksˈɛptɪŋ/,,,conflict,,,conflict,review_external_conflict,us,us,0,2,"{""candidates"": {""us"": [{""ipa"": ""/ækˈsɛptɪŋ/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/2""}, {""ipa"": ""/əkˈsɛptɪŋ/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 2/2""}]}, ""status_reason"": ""conflict"", ""source_variants"": [""us""], ""conflict_dialects"": [""us""]}"
accommodate,3717,/əˈkɑməˌdeɪt/,/əˈkɑməˌdeɪt/,,/əˈkɑməˌdeɪt/,conflict,,/əˈkɑməˌdeɪt/,conflict,review_external_conflict,uk,uk,4,1,"{""candidates"": {""uk"": [{""ipa"": ""/əˈkɒməˌdeɪt/"", ""source"": ""kaikki"", ""detail"": ""canada received-pronunciation dialectal""}, {""ipa"": ""/əˈkʰɒməˌdeɪt/"", ""source"": ""kaikki"", ""detail"": ""canada received-pronunciation dialectal""}, {""ipa"": ""/əˈkɒməˌdeɪt/"", ""source"": ""kaikki"", ""detail"": ""canada received-pronunciation dialectal""}, {""ipa"": ""/əˈkʰɒməˌdeɪt/"", ""source"": ""kaikki"", ""detail"": ""canada received-pronunciation dialectal""}], ""us"": [{""ipa"": ""/əˈkɑməˌdeɪt/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""conflict"", ""source_variants"": [""uk""], ""conflict_dialects"": [""uk""]}"
accommodations,0,/əˌkɑməˈdeɪʃənz/,/əˌkɑməˈdeɪʃənz/,,/əˌkɑməˈdeɪʃənz/,us_only,,/əˌkɑməˈdeɪʃənz/,us_only,pass,,,0,1,"{""candidates"": {""us"": [{""ipa"": ""/əˌkɑməˈdeɪʃənz/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""us_only""}"
accompany,2438,/əˈkʌmpəni/,/əˈkʌmpəni/,,/əˈkʌmpəni/,us_only,,/əˈkʌmpəni/,us_only,pass,,,0,1,"{""candidates"": {""us"": [{""ipa"": ""/əˈkʌmpəni/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""us_only""}"
accountancy,35429,/əˈkaʊntənsi/,/əˈkaʊntənsi/,,/əˈkaʊntənsi/,us_only,,/əˈkaʊntənsi/,us_only,pass,,,0,1,"{""candidates"": {""us"": [{""ipa"": ""/əˈkaʊntənsi/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""us_only""}"
accuse,2024,/əˈkjuːz/,/əˈkjuːz/,/əˈkjuːz/,/əˈkjuːz/,same,/əˈkjuːz/,/əˈkjuːz/,same,pass,,,2,1,"{""candidates"": {""uk"": [{""ipa"": ""/əˈkjuːz/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}, {""ipa"": ""/əˈkjuːz/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}], ""us"": [{""ipa"": ""/əˈkjuːz/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""same""}"
acidic,14328,/əˈsɪdɪk/,/əˈsɪdɪk/,,/əˈsɪdɪk/,us_only,,/əˈsɪdɪk/,us_only,pass,,,0,1,"{""candidates"": {""us"": [{""ipa"": ""/əˈsɪdɪk/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""us_only""}"
acme,28061,/ˈækmi/,/ˈækmi/,,/ˈækmi/,us_only,,/ˈækmi/,us_only,pass,,,0,1,"{""candidates"": {""us"": [{""ipa"": ""/ˈækmi/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""us_only""}"
acquisitive,28517,/əˈkwɪzətɪv/,/əˈkwɪzətɪv/,,/əˈkwɪzətɪv/,us_only,,/əˈkwɪzətɪv/,us_only,pass,,,0,1,"{""candidates"": {""us"": [{""ipa"": ""/əˈkwɪzətɪv/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""us_only""}"
acquittal,15274,/əˈkwɪtəl/,/əˈkwɪtəl/,,/əˈkwɪtəl/,us_only,,/əˈkwɪtəl/,us_only,pass,,,0,1,"{""candidates"": {""us"": [{""ipa"": ""/əˈkwɪtəl/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""us_only""}"
across,377,/əˈkɹɔs/,/əˈkɹɔs/,/əˈkɹɔs/,/əˈkɹɔs/,same,/əˈkɹɔs/,/əˈkɹɔs/,same,pass,,,3,1,"{""candidates"": {""uk"": [{""ipa"": ""/əˈkɹɔs/"", ""source"": ""kaikki"", ""detail"": ""british general-australian southern standard""}, {""ipa"": ""/əˈkɹɔs/"", ""source"": ""kaikki"", ""detail"": ""british general-australian southern standard""}, {""ipa"": ""/əˈkɹɔs/"", ""source"": ""kaikki"", ""detail"": ""british general-australian southern standard""}], ""us"": [{""ipa"": ""/əˈkɹɔs/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""same""}"
activism,7096,/ˈæktɪˌvɪzəm/,/ˈæktɪˌvɪzəm/,,/ˈæktɪˌvɪzəm/,conflict,,/ˈæktɪˌvɪzəm/,conflict,review_external_conflict,uk,uk,2,1,"{""candidates"": {""uk"": [{""ipa"": ""/ˈæktɪvɪzəm/"", ""source"": ""kaikki"", ""detail"": ""canada general-australian uk us""}, {""ipa"": ""/ˈæktɪvɪzm̩/"", ""source"": ""kaikki"", ""detail"": ""canada general-australian uk us""}], ""us"": [{""ipa"": ""/ˈæktɪˌvɪzəm/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""conflict"", ""source_variants"": [""uk""], ""conflict_dialects"": [""uk""]}"
ada,0,/ˈeɪdə/,/ˈeɪdə/,,/ˈeɪdə/,us_only,,/ˈeɪdə/,us_only,pass,,,0,1,"{""candidates"": {""us"": [{""ipa"": ""/ˈeɪdə/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""us_only""}"
adaptability,17278,/əˌdæptəˈbɪləti/,/əˌdæptəˈbɪləti/,/ədæptəˈbɪlɪti/,/əˌdæptəˈbɪləti/,verified,/ədæptəˈbɪlɪti/,/əˌdæptəˈbɪləti/,verified,pass,,,1,1,"{""candidates"": {""uk"": [{""ipa"": ""/ədæptəˈbɪlɪti/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}], ""us"": [{""ipa"": ""/əˌdæptəˈbɪləti/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""verified""}"
addendum,25689,/əˈdɛndəm/,/əˈdɛndəm/,/əˈdɛndəm/,/əˈdɛndəm/,same,/əˈdɛndəm/,/əˈdɛndəm/,same,pass,,,1,1,"{""candidates"": {""uk"": [{""ipa"": ""/əˈdɛndəm/"", ""source"": ""kaikki"", ""detail"": ""general-american received-pronunciation""}], ""us"": [{""ipa"": ""/əˈdɛndəm/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""same""}"
additive,14762,/ˈædɪtɪv/,/ˈædɪtɪv/,/ˈædɪtɪv/,,conflict,/ˈædɪtɪv/,,conflict,review_external_conflict,us,us,2,2,"{""candidates"": {""uk"": [{""ipa"": ""/ˈædɪtɪv/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}, {""ipa"": ""/ˈædɪtɪv/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}], ""us"": [{""ipa"": ""/ˈædətɪv/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/2""}, {""ipa"": ""/ˈædɪtɪv/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 2/2""}]}, ""status_reason"": ""conflict"", ""source_variants"": [""us""], ""conflict_dialects"": [""us""]}"
adherent,12675,/ədˈhɪɹənt/,/ədˈhɪɹənt/,,/ədˈhɪɹənt/,us_only,,/ədˈhɪɹənt/,us_only,pass,,,0,1,"{""candidates"": {""us"": [{""ipa"": ""/ədˈhɪɹənt/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""us_only""}"
adhesion,19916,/ædˈhiːʒən/,/ædˈhiːʒən/,/ˌædˈhiːʒən/,/ædˈhiːʒən/,verified,/ˌædˈhiːʒən/,/ædˈhiːʒən/,verified,pass,,,1,1,"{""candidates"": {""uk"": [{""ipa"": ""/ˌædˈhiːʒən/"", ""source"": ""kaikki"", ""detail"": ""uk""}], ""us"": [{""ipa"": ""/ædˈhiːʒən/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""verified""}"
adjacency,46097,/ɐdʒˈeɪsənsɪ/,/ɐdʒˈeɪsənsɪ/,,,legacy_single,,,legacy_single,review_no_external_evidence,,,0,0,"{""candidates"": {}, ""status_reason"": ""legacy_single""}"
adjustment,3121,/əˈdʒʌstmənt/,/əˈdʒʌstmənt/,/əˈd͡ʒʌstmənt/,/əˈdʒʌstmənt/,verified,/əˈd͡ʒʌstmənt/,/əˈdʒʌstmənt/,verified,pass,,,1,1,"{""candidates"": {""uk"": [{""ipa"": ""/əˈd͡ʒʌstmənt/"", ""source"": ""kaikki"", ""detail"": ""canada general-american received-pronunciation""}], ""us"": [{""ipa"": ""/əˈdʒʌstmənt/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""verified""}"
admittance,22469,/ədˈmɪtəns/,/ədˈmɪtəns/,,/ədˈmɪtəns/,us_only,,/ədˈmɪtəns/,us_only,pass,,,0,1,"{""candidates"": {""us"": [{""ipa"": ""/ədˈmɪtəns/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""us_only""}"
adobe,14939,/əˈdoʊbi/,/əˈdoʊbi/,/əˈdəʊbi/,/əˈdoʊbi/,verified,/əˈdəʊbi/,/əˈdoʊbi/,verified,pass,,,1,1,"{""candidates"": {""uk"": [{""ipa"": ""/əˈdəʊbi/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}], ""us"": [{""ipa"": ""/əˈdoʊbi/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""verified""}"
adopted,10543,/əˈdɑptɪd/,/əˈdɑptɪd/,/əˈdɒptɪd/,/əˈdɑptɪd/,verified,/əˈdɒptɪd/,/əˈdɑptɪd/,verified,pass,,,2,1,"{""candidates"": {""uk"": [{""ipa"": ""/əˈdɒptɪd/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}, {""ipa"": ""/əˈdɒptɪd/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}], ""us"": [{""ipa"": ""/əˈdɑptɪd/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""verified""}"
adornment,19010,/əˈdɔɹnmənt/,/əˈdɔɹnmənt/,,/əˈdɔɹnmənt/,us_only,,/əˈdɔɹnmənt/,us_only,pass,,,0,1,"{""candidates"": {""us"": [{""ipa"": ""/əˈdɔɹnmənt/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""us_only""}"
adulation,19049,/ˌædʒəˈleɪʃən/,/ˌædʒəˈleɪʃən/,,/ˌædʒəˈleɪʃən/,conflict,,/ˌædʒəˈleɪʃən/,conflict,review_external_conflict,uk,uk,2,1,"{""candidates"": {""uk"": [{""ipa"": ""/ˌædʒʊˈleɪʃən/"", ""source"": ""kaikki"", ""detail"": ""uk""}, {""ipa"": ""/ˌædjʊˈleɪʃən/"", ""source"": ""kaikki"", ""detail"": ""uk""}], ""us"": [{""ipa"": ""/ˌædʒəˈleɪʃən/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""conflict"", ""source_variants"": [""uk""], ""conflict_dialects"": [""uk""]}"
adulthood,7780,/əˈdʌltˌhʊd/,/əˈdʌltˌhʊd/,,/əˈdʌltˌhʊd/,us_only,,/əˈdʌltˌhʊd/,us_only,pass,,,0,1,"{""candidates"": {""us"": [{""ipa"": ""/əˈdʌltˌhʊd/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""us_only""}"
