word,frequency,current_phonetic,effective_phonetic,current_uk,current_us,current_status,expected_uk,expected_us,expected_status,verdict,source_variants,conflict_dialects,candidate_count_uk,candidate_count_us,sources_json
abandoned,6184,/əˈbændənd/,/əˈbændənd/,/əˈbændənd/,/əˈbændənd/,same,/əˈbændənd/,/əˈbændənd/,same,pass,,,2,1,"{""candidates"": {""uk"": [{""ipa"": ""/əˈbændənd/"", ""source"": ""kaikki"", ""detail"": ""general-american received-pronunciation""}, {""ipa"": ""/əˈbændənd/"", ""source"": ""kaikki"", ""detail"": ""general-american received-pronunciation""}], ""us"": [{""ipa"": ""/əˈbændənd/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""same""}"
abbreviate,22759,/əˈbɹiːviˌeɪt/,/əˈbɹiːviˌeɪt/,/əˈbɹiːvieɪt/,/əˈbɹiːviˌeɪt/,verified,/əˈbɹiːvieɪt/,/əˈbɹiːviˌeɪt/,verified,pass,,,1,1,"{""candidates"": {""uk"": [{""ipa"": ""/əˈbɹiːvieɪt/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}], ""us"": [{""ipa"": ""/əˈbɹiːviˌeɪt/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""verified""}"
abiding,15604,/əˈbaɪdɪŋ/,/əˈbaɪdɪŋ/,,/əˈbaɪdɪŋ/,us_only,,/əˈbaɪdɪŋ/,us_only,pass,,,0,1,"{""candidates"": {""us"": [{""ipa"": ""/əˈbaɪdɪŋ/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""us_only""}"
abject,16479,/ˈæbdʒɛkt/,/ˈæbdʒɛkt/,/ˈæbd͡ʒɛkt/,/ˈæbdʒɛkt/,verified,/ˈæbd͡ʒɛkt/,/ˈæbdʒɛkt/,verified,pass,uk,,3,1,"{""candidates"": {""uk"": [{""ipa"": ""/ˈæbd͡ʒɛkt/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}, {""ipa"": ""/ˈæbd͡ʒɛkt/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}, {""ipa"": ""/æbˈd͡ʒɛkt/"", ""source"": ""kaikki"", ""detail"": ""general-american received-pronunciation""}], ""us"": [{""ipa"": ""/ˈæbdʒɛkt/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""verified"", ""source_variants"": [""uk""]}"
ablution,31213,/əˈbluːʃən/,/əˈbluːʃən/,/əˈbluːʃn̩/,/əˈbluːʃən/,verified,/əˈbluːʃn̩/,/əˈbluːʃən/,verified,pass,,,1,1,"{""candidates"": {""uk"": [{""ipa"": ""/əˈbluːʃn̩/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}], ""us"": [{""ipa"": ""/əˈbluːʃən/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""verified""}"
abnegation,42346,/ˌæbnɛˈɡeɪʃən/,/ˌæbnɛˈɡeɪʃən/,/ˌæbnɪˈɡeɪ̯ʃən/,/ˌæbnɛˈɡeɪʃən/,verified,/ˌæbnɪˈɡeɪ̯ʃən/,/ˌæbnɛˈɡeɪʃən/,verified,pass,,,1,1,"{""candidates"": {""uk"": [{""ipa"": ""/ˌæbnɪˈɡeɪ̯ʃən/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}], ""us"": [{""ipa"": ""/ˌæbnɛˈɡeɪʃən/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""verified""}"
abnormal,8241,/æbˈnɔɹməl/,/æbˈnɔɹməl/,/ˌæbˈnɔːməl/,/æbˈnɔɹməl/,verified,/ˌæbˈnɔːməl/,/æbˈnɔɹməl/,verified,pass,,,2,1,"{""candidates"": {""uk"": [{""ipa"": ""/ˌæbˈnɔːməl/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}, {""ipa"": ""/ˌæbˈnɔːməl/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}], ""us"": [{""ipa"": ""/æbˈnɔɹməl/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""verified""}"
abortion,1969,/əˈbɔɹʃən/,/əˈbɔɹʃən/,,/əˈbɔɹʃən/,us_only,,/əˈbɔɹʃən/,us_only,pass,,,0,1,"{""candidates"": {""us"": [{""ipa"": ""/əˈbɔɹʃən/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""us_only""}"
abrogate,21800,/ˈæbɹəˌɡeɪt/,/ˈæbɹəˌɡeɪt/,,/ˈæbɹəˌɡeɪt/,conflict,,/ˈæbɹəˌɡeɪt/,conflict,review_external_conflict,uk,uk,3,1,"{""candidates"": {""uk"": [{""ipa"": ""/ˈæbɹəʊɡeɪt/"", ""source"": ""kaikki"", ""detail"": ""uk""}, {""ipa"": ""/ˈæbɹəɡeɪt/"", ""source"": ""kaikki"", ""detail"": ""uk""}, {""ipa"": ""/ˈæbɹəɡət/"", ""source"": ""kaikki"", ""detail"": ""uk""}], ""us"": [{""ipa"": ""/ˈæbɹəˌɡeɪt/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""conflict"", ""source_variants"": [""uk""], ""conflict_dialects"": [""uk""]}"
abstraction,8413,/æbˈstɹækʃən/,/æbˈstɹækʃən/,/əbˈstɹækʃn̩/,/æbˈstɹækʃən/,verified,/əbˈstɹækʃn̩/,/æbˈstɹækʃən/,verified,pass,,,1,1,"{""candidates"": {""uk"": [{""ipa"": ""/əbˈstɹækʃn̩/"", ""source"": ""kaikki"", ""detail"": ""received-pronunciation""}], ""us"": [{""ipa"": ""/æbˈstɹækʃən/"", ""source"": ""cmudict"", ""detail"": ""CMU pronunciation 1/1""}]}, ""status_reason"": ""verified""}"
