word,syllables,syllable_count
aa,aa,1
aaa,a-a-a,3
aah,aah,1
aaron,aa-ron,2
ab,ab,1
abalone,a-ba-lo-ne,4
abandon,a-ban-don,3
abandoned,a-ban-doned,3
abandonment,a-ban-don-ment,4
abase,abase,1
abash,a-bash,2
abate,a-bate,2
abatement,a-bate-ment,3
abbess,abbess,1
abbey,ab-bey,2
abbot,ab-bot,2
abbreviate,ab-bre-vi-ate,4
abbreviation,ab-bre-vi-a-tion,5
abc,a-b-c,3
abdicate,ab-di-cate,3
abdomen,ab-do-men,3
abdominal,ab-dom-i-nal,4
abduction,ab-duc-tion,3
abed,a-bed,2
aberdeen,a-ber-deen,3
aberrant,a-ber-rant,3
aberration,a-ber-ra-tion,4
abet,a-bet,2
abeyance,a-bey-ance,3
abhor,ab-hor,2
abhorrence,ab-hor-rence,3
abhorrent,ab-hor-rent,3
abhorrently,ab-hor-rent-ly,4
abidance,abid-ance,2
abide,a-bide,2
abiding,a-bi-ding,3
abigail,a-bi-gail,3
abilities,a-bil-i-ties,4
ability,a-bil-i-ty,4
abject,ab-ject,2
abjure,ab-jure,2
ablaze,a-blaze,2
able,a-ble,2
ablution,a-blu-tion,3
abnegate,ab-ne-gate,3
abnegation,ab-ne-ga-tion,4
abnormal,ab-nor-mal,3
abnormality,ab-nor-mal-i-ty,5
abnormally,ab-nor-mal-ly,4
aboard,a-board,2
abode,a-bode,2
abolish,a-bo-lish,3
abolition,a-bo-li-tion,4
abominable,a-bo-mi-na-ble,5
abominate,abom-i-nate,3
abomination,a-bo-mi-na-tion,5
aboriginal,a-bo-rig-i-nal,5
aborigine,a-bo-ri-gi-ne,5
aborigines,a-bo-ri-gi-nes,5
abort,a-bort,2
abortion,a-bor-tion,3
abortive,a-bor-tive,3
abound,a-bound,2
about,a-bout,2
above,a-bove,2
aboveboard,above-board,2
aboveground,above-ground,2
abrade,a-brade,2
abraham,a-bra-ham,3
abrasion,a-bra-sion,3
abrasive,a-bra-sive,3
abreast,a-breast,2
abridge,a-bridge,2
abridgment,abridg-ment,2
abroad,a-broad,2
abrogate,ab-ro-gate,3
abrupt,a-brupt,2
abruptly,a-brup-tly,3
abruptness,a-brup-tness,3
abs,abs,1
abscess,ab-scess,2
abscission,ab-scis-sion,3
abscond,ab-scond,2
absence,ab-sence,2
absent,ab-sent,2
absenteeism,a-bsen-tee-ism,4
absolute,ab-so-lute,3
absolutely,ab-so-lute-ly,4
absolution,ab-so-lu-tion,4
absolve,ab-solve,2
absorb,ab-sorb,2
absorption,ab-sorp-tion,3
abstain,ab-stain,2
abstemious,ab-stemious,2
abstinence,ab-sti-nence,3
abstract,ab-stract,2
abstraction,ab-strac-tion,3
abstracts,ab-stracts,2
abstruse,ab-struse,2
absurd,ab-surd,2
absurdity,ab-sur-di-ty,4
abu,a-bu,2
abundance,a-bun-dance,3
abundant,a-bun-dant,3
abundantly,a-bun-dan-tly,4
abuse,a-buse,2
abusive,a-bu-sive,3
abut,a-but,2
abysmal,a-by-smal,3
abyss,a-byss,2
ac,a-c,2
academic,a-ca-dem-ic,4
academically,a-ca-dem-i-cal-ly,6
academician,a-ca-de-mi-cian,5
academics,a-ca-de-mics,4
academy,a-cad-e-my,4
acc,a-c-c,3
